[2026-09-18T05:11:01.392Z] QUALITY_ISSUE_KEPT: ID=7519583 | Category=Dining | Name="Wesley Glass 4 Seater Dining Table In Dark Walnut Finish" | Details={"wordCount":null,"retryWordCount":56,"restrictedUsed":["dining","wood","seater","walnut","design","rich","12","glass","conversation","warmth","lines","blends","comfortable","ideal","around","dark","four","meal","guests","tempered","intimate","meet","keeps"],"similarPrior":null}
[2026-09-18T07:23:10.359Z] QUALITY_ISSUE_KEPT: ID=9820945 | Category=Storage | Name="Toledo Solid Wood 2 Door Wardrobe In Amber Walnut Finish" | Details={"wordCount":null,"retryWordCount":109,"restrictedUsed":["wood","walnut","solid","crafted","36","touch","danish","mango","refined","soft","presence","available","room","feels","area","construction","amber","brass","drawer","month","fluted","dark","essentials","look","pairs","daily","generous","detailing","keeps","chestnut","shelving","shelves","tidy","lower","order","linens","extras","handles","hanging","items","wardrobe","inside","folded","compartment"],"retryRestricted":["wood","walnut","solid","crafted","while","danish","mango","warm","brings","sense","character","amber","brass","drawer","beautifully","fluted","built","distinctive","dark","adding","grain","point","textured","focal","feel","find","generous","sturdy","also","neatly","chestnut","evenings","circular","away","made","shelves","front","bedroom","lower","when","order","composed","deepens","pulls","hanging","wardrobe","inside","folded"],"similarPrior":null,"retrySimilar":null,"originalDirection":"compact-clarity","retryDirection":"hosting-moment"}
[2026-09-18T07:23:48.145Z] QUALITY_ISSUE_KEPT: ID=9954038 | Category=Storage | Name="Saar Solid Wood Bedside Table in Espresso Finish" | Details={"wordCount":112,"retryWordCount":116,"restrictedUsed":["wood","table","solid","crafted","teak","while","36","design","rich","refined","mid","legs","quiet","frame","character","adds","brass","drawer","month","open","versatile","contemporary","offer","essentials","complete","light","look","anchors","backed","feel","keeping","easy","blending","meet","within","accent","everyday","reach","bedside","single","books","shelf","small","practicality","give","keepsakes"],"retryRestricted":["table","solid","teak","while","36","rich","clean","legs","room","silhouette","construction","finished","brass","drawer","month","open","light","look","pairs","feel","pair","matching","keeps","together","accent","polished","bedside","single","mirror","evenings","reading","catches","away","books","shelf","tidy","floor","when","down","small","setup","things","give","tucks","below","one"],"similarPrior":null,"retrySimilar":null,"originalDirection":"room-anchor","retryDirection":"hosting-moment"}
[2026-09-18T07:24:26.198Z] QUALITY_ISSUE_KEPT: ID=8340143 | Category=Storage | Name="Toledo Solid Wood Bedside Table in Danish Walnut Finish" | Details={"wordCount":null,"retryWordCount":118,"restrictedUsed":["wood","table","walnut","solid","crafted","while","natural","danish","mango","collection","warm","brings","presence","modern","grounded","construction","evening","beautifully","through","classic","well","closed","adding","essentials","grain","look","pairs","feel","easy","rituals","keeps","within","reach","bedside","corner","bedrooms","calm","day","tidy","bedroom","out","drawers","chest","composed","sight","stays","clutter","little","toledo"],"retryRestricted":["wood","walnut","while","36","danish","mango","side","glass","water","quiet","silhouette","warmth","adds","visual","built","companion","anchor","designed","closed","essentials","pairs","feel","supports","stability","keeps","offering","everyday","rhythm","lamp","neatly","bedside","reading","calm","compact","without","engineered","favorite","richness","fits","three","hold","out","spot","beside","small","sight","clutter"],"similarPrior":null,"retrySimilar":null,"originalDirection":"hosting-moment","retryDirection":"material-first"}
[2026-09-18T07:24:44.765Z] QUALITY_ISSUE_KEPT: ID=8340925 | Category=Storage | Name="Fidora Solid Wood Dressing Table With Stool in Mahogany Finish" | Details={"wordCount":null,"retryWordCount":107,"restrictedUsed":["wood","table","sheesham","solid","comfort","crafted","while","36","design","style","warm","brings","quiet","offers","grounded","upholstered","high","elegance","seat","any","timeless","drawer","month","airy","closed","essentials","moment","daily","transitional","mahogany","add","keeps","fidora","window","ready","cutout","calm","ritual","away","made","turns","bedroom","out","pattern","tucks","morning","shutter","dressing"],"retryRestricted":["wood","table","sheesham","solid","crafted","teak","while","36","honey","brings","rich","available","quiet","feels","features","character","high","seat","finished","tone","drawer","month","built","cushioned","stool","ease","closed","essentials","moment","pairs","anchors","daily","transitional","mahogany","also","considered","fidora","neatly","window","corner","turning","cutout","carries","day","ritual","away","included","framed","out","routine","tucked","pattern","behind","morning","shutter","dressing"],"similarPrior":null,"retrySimilar":null,"originalDirection":"form-function","retryDirection":"design-character"}
[2026-09-18T07:26:18.130Z] QUALITY_ISSUE_KEPT: ID=7519221 | Category=Storage | Name="Stinson Solid Wood Bar Stool (Teak Finish, Brown Colour)" | Details={"wordCount":null,"retryWordCount":92,"restrictedUsed":["wood","sheesham","solid","comfort","crafted","home","teak","while","36","meals","natural","design","warm","brings","rich","bar","offers","character","relaxed","support","seat","upholstery","construction","adds","evening","month","built","cushioned","stool","anchors","sturdy","everyday","brown","tall","fit"],"retryRestricted":["wood","sheesham","home","teak","while","36","natural","design","warm","brings","bar","invites","quiet","offers","modern","room","relaxed","support","conversation","seat","upholstery","fabric","construction","finished","tone","back","month","cushioned","anchor","stool","effortlessly","pairs","interiors","gentle","linger","rustic","energy","nook","made"],"similarPrior":null,"retrySimilar":null,"originalDirection":"compact-clarity","retryDirection":"room-anchor"}
[2026-09-18T07:26:36.789Z] QUALITY_ISSUE_KEPT: ID=9951337 | Category=Storage | Name="Klint Solid Wood Crockery cum Bar Cabinet in Amber Walnut Finish" | Details={"wordCount":119,"retryWordCount":115,"restrictedUsed":["wood","walnut","solid","crafted","while","every","style","mango","warm","bar","clean","mid","century","legs","side","glass","tapered","frame","gathering","inviting","silhouette","curved","balances","over","depth","amber","cabinet","brass","fluted","shutters","glassware","sophisticated","built","through","klint","texture","integrated","making","light","moment","softly","lingering","feel","elevate","gentle","add","glow","up","lighting","casts","ready","next","evenings","bring","lend","bottles","display","turns","hold","cut"],"retryRestricted":["wood","walnut","solid","set","crafted","while","every","danish","mango","brings","refined","bar","clean","mid","century","legs","presence","side","glass","tapered","available","offers","gathering","elegance","any","gently","curved","lasting","finished","lines","amber","cabinet","evening","brass","fluted","glassware","klint","texture","integrated","making","panels","let","point","softly","focal","feel","keeping","gentle","two","add","across","strength","glow","lighting","casts","upper","understated","bottles","out","lower","cut","sight","softened","size","sections"],"similarPrior":null,"retrySimilar":null,"originalDirection":"hosting-moment","retryDirection":"material-first"}
[2026-09-18T07:27:20.110Z] QUALITY_ISSUE_KEPT: ID=7518945 | Category=Storage | Name="Boisdale Solid Wood Bar Cabinet (Walnut Finish)" | Details={"wordCount":null,"retryWordCount":130,"restrictedUsed":["wood","walnut","crafted","while","touch","mango","warm","rich","refined","12","bar","legs","glass","wine","gathering","any","interior","construction","cabinet","includes","drawer","glassware","open","closed","sleek","grain","pairs","backed","add","keeps","toughened","ready","corner","bottles","display","shelf","doors","turns","close","spot","when","rack","panel","handles"],"retryRestricted":["wood","walnut","solid","while","every","mango","12","bar","glass","wine","feels","surface","conversation","construction","back","adds","depth","cabinet","drawer","open","functional","dark","closed","light","meet","adapts","keeps","toughened","host","up","their","delivers","upper","eye","clear","bottles","display","shelf","doors","holds","out","when","rack","panel","tall","view","mirrored"],"similarPrior":"A toast to good times, ready when you are.","retrySimilar":null,"originalDirection":"material-first","retryDirection":"form-function"}
[2026-09-18T07:27:57.686Z] QUALITY_ISSUE_KEPT: ID=10352658 | Category=Storage | Name="Tavo Solid Wood and Toronto Console Table In Antique Amber Finish" | Details={"wordCount":117,"retryWordCount":120,"restrictedUsed":["wood","table","solid","crafted","while","36","mango","clean","legs","presence","top","effortless","elegance","silhouette","curved","balances","construction","visual","amber","drawer","month","beautifully","open","built","integrated","contemporary","provides","designed","smooth","seamless","offer","closed","handle","edges","point","marble","softly","focal","gentle","detailing","add","keeps","hallways","everyday","rounded","durability","antique","bring","console","books","shelf","flow","makes","them","spot","lower","drawers","keys","composed","entryways"],"retryRestricted":["wood","table","solid","crafted","while","36","natural","mango","warm","living","refined","legs","presence","offers","top","surface","curved","finished","amber","drawer","month","open","integrated","airy","anchor","making","smooth","closed","handle","look","pairs","marble","softly","backed","daily","detailing","keeps","hallways","rounded","durability","antique","decorative","areas","entryway","console","display","books","shelf","keep","hold","lower","drawers","graceful","keys","handles","corners","slender","inside"],"similarPrior":null,"retrySimilar":null,"originalDirection":"form-function","retryDirection":"hosting-moment"}
[2026-09-18T07:28:16.120Z] QUALITY_ISSUE_KEPT: ID=9264437 | Category=Storage | Name="Olen Solid Wood Bedside Table in Amber Walnut Finish" | Details={"wordCount":null,"retryWordCount":122,"restrictedUsed":["wood","table","walnut","solid","crafted","while","mango","legs","modern","form","warmth","gently","adds","amber","contemporary","airy","seamless","essentials","light","edges","look","rooms","meet","two","keeps","rounded","alike","bedside","like","away","books","soften","keep","close","feeling","drawers","beside","tuck","keepsakes"],"retryRestricted":["wood","table","walnut","solid","crafted","home","36","natural","danish","mango","rich","clean","side","available","quiet","character","silhouette","amber","month","built","contemporary","airy","making","classic","designed","smooth","offer","essentials","grain","look","pairs","daily","feel","easy","use","two","keeps","within","settings","reach","bedside","reading","clear","keep","minimalist","out","floor","drawers","gliding","concealed","deepens","sight","neat","feet","last"],"similarPrior":"A bedside table that anchors your space with quiet character.","retrySimilar":null,"originalDirection":"room-anchor","retryDirection":"compact-clarity"}
[2026-09-18T07:28:35.490Z] QUALITY_ISSUE_KEPT: ID=8340170 | Category=Storage | Name="Rodrigues Engineered Wood Bedside Table in Sheesham Finish" | Details={"wordCount":null,"retryWordCount":116,"restrictedUsed":["table","sheesham","crafted","while","brings","refined","12","clean","lines","depth","evening","month","designed","ease","essentials","edges","elegant","look","feel","use","detailing","contrast","two","add","edge","everyday","accents","practical","bedside","subtle","made","particle","board","keep","bedroom","close","out","spot","drawers","spacious","sight","neat","simplicity","clutter"],"retryRestricted":["sheesham","warm","12","quiet","top","room","organic","silhouette","construction","back","adds","month","anchor","edges","detailing","two","keeps","edge","glow","crisp","lamp","bedside","evenings","calm","ritual","away","books","particle","board","spot","drawers","order","free","build","concealed","tuck","stays"],"similarPrior":null,"retrySimilar":null,"originalDirection":"hosting-moment","retryDirection":"material-first"}
[2026-09-18T07:29:16.144Z] QUALITY_ISSUE_KEPT: ID=8280781 | Category=Storage | Name="Alexandra Solid Wood Bedside Table in American Walnut Finish" | Details={"wordCount":null,"retryWordCount":117,"restrictedUsed":["wood","table","walnut","solid","crafted","while","36","mango","brings","clean","quiet","offers","grounded","character","silhouette","warmth","lasting","adds","depth","drawer","month","anchor","smooth","essentials","mdf","keeps","within","together","slow","everyday","reach","rhythm","neatly","bedside","corner","like","books","fits","keep","close","out","build","small","sight","everything","american","gives","items","looking"],"retryRestricted":["wood","table","walnut","solid","while","36","natural","style","mango","warm","rich","clean","quiet","offers","features","inviting","silhouette","blend","finished","tone","adds","drawer","month","built","through","companion","thoughtful","designed","organized","appeal","pairs","mdf","keeping","easy","use","moments","keeps","within","everyday","reach","neatly","practical","bedside","single","understated","compact","made","fits","routine","beside","small","american","items","last","bed"],"similarPrior":"A quiet anchor for your bedroom, the Ben chest of four drawers brings a calm, contemporary presence to your space.","retrySimilar":null,"originalDirection":"design-character","retryDirection":"compact-clarity"}
[2026-09-18T07:29:34.152Z] QUALITY_ISSUE_KEPT: ID=9463969 | Category=Storage | Name="Fujiwara Solid Wood And Cane Bedside Table In Amber Walnut Finish" | Details={"wordCount":null,"retryWordCount":92,"restrictedUsed":["wood","table","walnut","solid","crafted","while","36","touch","design","mango","warm","brings","refined","glass","quiet","features","inspired","finished","amber","drawer","month","zen","airy","blends","cane","essentials","artistry","feel","traditional","detailing","add","keeps","surfaces","everyday","neatly","bedside","evenings","calm","understated","away","made","routine","tucked","corners","japanese"],"retryRestricted":["wood","walnut","solid","crafted","while","36","touch","natural","mango","brings","refined","glass","quiet","offers","top","surface","blend","construction","lines","depth","amber","drawer","month","airy","cane","panels","feel","stage","detailing","add","keeps","lamp","bedside","single","handcrafted","close","spot","small","japanese","simplicity","above","gives","items","stack"],"similarPrior":null,"retrySimilar":"A quiet spot for your growing collection, the Austen brings order to any corner.","originalDirection":"compact-clarity","retryDirection":"material-first"}
[2026-09-18T07:30:49.901Z] QUALITY_ISSUE_KEPT: ID=9875773 | Category=Storage | Name="Raynor Solid Wood Bedside Table in Amber Walnut Finish" | Details={"wordCount":116,"retryWordCount":112,"restrictedUsed":["wood","table","walnut","solid","crafted","while","mango","warm","brings","clean","glass","available","water","quiet","top","features","form","finished","lines","adds","amber","evening","brass","drawer","companion","designed","essentials","grain","light","transitional","interiors","detailing","also","tactile","rhythm","bedside","single","eye","subtle","reading","clear","understated","catches","without","balanced","away","routine","small","composed","deepens","american","stays","things","tucks","make","one","toned"],"retryRestricted":["wood","table","walnut","36","natural","mango","rich","side","sense","quiet","surface","character","silhouette","warmth","blend","construction","finished","tone","adds","depth","amber","brass","drawer","month","open","companion","provides","designed","essentials","pairs","anchors","spaces","transitional","easy","gentle","detailing","keeps","accent","reach","rhythm","lamp","bedside","single","corner","subtle","reading","understated","balanced","away","front","tucks","items","morning","toned"],"similarPrior":null,"retrySimilar":null,"originalDirection":"material-first","retryDirection":"room-anchor"}
[2026-09-18T07:31:27.493Z] QUALITY_ISSUE_KEPT: ID=7567293 | Category=Storage | Name="Petting Zoo Chest of Drawers" | Details={"wordCount":141,"retryWordCount":87,"restrictedUsed":["crafted","while","brings","12","clean","soft","offers","top","room","silhouette","lasting","month","built","through","companion","anchor","making","smooth","closed","look","backed","daily","use","keeps","up","everyday","durability","lamp","simple","calm","understated","reliable","away","particle","board","tidy","bedroom","hold","hallway","out","spot","routine","feeling","drawers","chest","linens","dust","free","build","behind","matte","tuck","sight","things","items","folded","quietly"],"retryRestricted":["while","brings","12","clean","quiet","offers","construction","drawer","month","built","through","contemporary","smooth","closed","essentials","look","anchors","meet","keeps","everyday","place","time","reliable","particle","board","bedroom","hallway","out","drawers","order","chest","matte","view","everything","one","folded"],"similarPrior":"A tidy spot for your daily rotation.","retrySimilar":"A place for everything, and everything in its place—the Zoey three","originalDirection":"form-function","retryDirection":"material-first"}
[2026-09-18T07:32:27.010Z] QUALITY_ISSUE_KEPT: ID=9118823 | Category=Storage | Name="Toledo Solid Wood King Size Bed With Hydraulic Storage (Amber Walnut Finish)" | Details={"wordCount":123,"retryWordCount":126,"restrictedUsed":["wood","walnut","solid","crafted","while","touch","where","mango","warm","brings","rich","soft","presence","quiet","room","form","grounded","surface","organic","silhouette","fluid","finished","amber","making","ease","sculpted","grain","edges","elegant","bold","anchors","feel","easy","yet","invite","up","rounded","polished","rhythm","ready","turning","place","calm","bedroom","off","tall","access","toledo","lift","extra"],"retryRestricted":["wood","table","walnut","crafted","while","36","touch","natural","mango","rich","soft","invites","available","form","base","elegance","silhouette","any","construction","adds","amber","month","designed","ease","smooth","sculpted","complete","edges","look","pairs","bold","point","focal","easy","creates","matching","slow","offering","sanctuary","rounded","rhythm","bedside","bringing","bedroom","spot","drawers","tall","chest","linens","function","size","access","toledo","hidden","bed","extra"],"similarPrior":null,"retrySimilar":null,"originalDirection":"material-first","retryDirection":"form-function"}
[2026-09-18T07:32:46.442Z] QUALITY_ISSUE_KEPT: ID=9353338 | Category=Storage | Name="Milan Engineered Wood King Size Bed With Hydraulic Storage (Deep Crimson Velvet Colour)" | Details={"wordCount":132,"retryWordCount":115,"restrictedUsed":["solid","comfort","while","12","deep","invites","available","quiet","feels","frame","high","silhouette","upholstery","fabric","plush","curved","long","construction","finished","month","velvet","adding","light","statement","softly","generous","slow","offering","accent","gold","neatly","ready","place","catches","day","without","board","turns","bedroom","out","off","order","tucked","sight","size","compartment","pull","extra","headboard","beneath","hydraulic"],"retryRestricted":["crafted","while","every","rich","refined","12","soft","deep","available","frame","high","inviting","upholstery","fabric","tone","evening","month","built","texture","integrated","velvet","bold","statement","anchors","daily","sturdy","gentle","curves","gold","board","keep","turns","bedroom","off","serene","graceful","linens","make","sizes","compartment","roomy","pull","bed","extra","works","headboard","hydraulic"],"similarPrior":null,"retrySimilar":null,"originalDirection":"material-first","retryDirection":"design-character"}
[2026-09-18T07:33:12.886Z] QUALITY_ISSUE_KEPT: ID=8340207 | Category=Storage | Name="Cambry King Size Box Storage Bed With Headboard Storage In American Walnut" | Details={"wordCount":null,"retryWordCount":114,"restrictedUsed":["wood","sheesham","walnut","solid","comfort","crafted","36","brings","rich","room","effortless","organic","any","perfect","warmth","construction","adds","month","classic","designed","offer","four","feel","charm","generous","calm","day","compartments","makes","tidy","keep","bedroom","drawers","spacious","practicality","stories","american","keepsakes","below","hidden","headboard"],"retryRestricted":["sheesham","walnut","solid","36","deep","available","quiet","room","frame","construction","finished","month","grace","offer","four","moment","forms","generous","keeping","sanctuary","neatly","evenings","calm","ritual","treasures","favorite","shelf","compartments","front","turns","close","out","order","linens","small","sight","american","below","little","items","roomy","bed","warms","glasses","hydraulic"],"similarPrior":null,"retrySimilar":null,"originalDirection":"design-character","retryDirection":"hosting-moment"}
[2026-09-18T07:33:30.934Z] QUALITY_ISSUE_KEPT: ID=9420552 | Category=Storage | Name="Amy Engineered Wood King Size Bed With Box Storage (Classic Walnut Finish, Brown Colour)" | Details={"wordCount":null,"retryWordCount":113,"restrictedUsed":["wood","walnut","crafted","while","natural","brings","12","clean","room","frame","effortless","warmth","construction","lines","month","open","contemporary","making","classic","closed","essentials","organized","pairs","spaces","keeps","within","reach","evenings","calm","day","without","ritual","away","engineered","shelves","turns","hold","routines","when","pattern","concealed","everything","size","tucks","clutter","fit","overwhelming","shutter","linear","headboard"],"retryRestricted":["wood","walnut","while","every","living","12","offers","modern","base","silhouette","perfect","construction","month","open","built","integrated","contemporary","making","classic","closed","essentials","sleek","pairs","generous","easy","two","within","polished","reach","practical","reading","solution","away","engineered","shelves","keep","bedroom","out","linens","below","shutter","linear","bed","extra","headboard"],"similarPrior":null,"retrySimilar":null,"originalDirection":"hosting-moment","retryDirection":"form-function"}
[2026-09-18T07:34:27.692Z] QUALITY_ISSUE_KEPT: ID=9227330 | Category=Storage | Name="Rio Engineered Wood King Size Bed With Hydraulic Storage (Granite Weave Colour)" | Details={"wordCount":120,"retryWordCount":109,"restrictedUsed":["wood","brings","12","available","base","upholstered","character","support","fabric","construction","month","sophisticated","texture","contemporary","cushioned","provides","panels","pairs","softly","generous","easy","gentle","contrast","also","keeps","offering","simple","reading","hand","engineered","lets","bedroom","off","function","sizes","items","pull","bed","extra","headboard","beneath","hydraulic","opens","king"],"retryRestricted":["wood","while","green","style","warm","12","clean","room","feels","frame","base","inviting","silhouette","fabric","month","cushioned","blends","making","panels","creating","look","pairs","generous","easy","layered","engineered","out","sight","size","items","pull","bed","lift","reveal","headboard","hydraulic","opens","smoothly","king"],"similarPrior":null,"retrySimilar":"A bed that hides a surprise in plain sight.","originalDirection":"form-function","retryDirection":"compact-clarity"}
[2026-09-18T07:34:48.696Z] QUALITY_ISSUE_KEPT: ID=8340204 | Category=Storage | Name="Holmebrook Engineered Wood King Size Bed With Drawer Storage (Desert Rose Colour)" | Details={"wordCount":139,"retryWordCount":118,"restrictedUsed":["wood","while","where","design","12","presence","invites","offers","room","frame","base","upholstered","support","silhouette","fabric","plush","back","drawer","month","integrated","making","light","textured","mdf","sturdy","easy","stage","add","keeps","slow","everyday","neatly","softens","evenings","center","calm","reliable","day","made","engineered","particle","board","turns","bedroom","out","floor","off","tall","graceful","linens","haven","sight","below","last","bed","extra","headboard","season"],"retryRestricted":["while","touch","soft","quiet","offers","room","support","silhouette","backrest","construction","finished","adds","drawer","integrated","cushioned","comfortable","classic","designed","well","tones","pairs","mdf","daily","charm","sturdy","keeping","use","keeps","welcoming","stylish","practical","reading","without","away","particle","board","tidy","turns","bedroom","off","drawers","linens","build","haven","tuck","size","clutter","bed","extra","king","season"],"similarPrior":null,"retrySimilar":null,"originalDirection":"hosting-moment","retryDirection":"compact-clarity"}
[2026-09-18T07:35:10.012Z] QUALITY_ISSUE_KEPT: ID=8115684 | Category=Storage | Name="Satsuki Solid Wood Bar Cabinet (White & Walnut Finish)" | Details={"wordCount":138,"retryWordCount":131,"restrictedUsed":["wood","walnut","solid","while","36","natural","mango","brings","rich","bar","clean","legs","glass","tapered","wine","quiet","striking","frame","grounded","gathering","inviting","conversation","any","tone","cabinet","includes","month","white","fluted","shutters","open","closed","handle","grain","guests","let","light","point","anchors","focal","contrast","add","up","confidence","circular","shelving","shelves","flow","keep","multiple","drawers","order","everything","give","inside"],"retryRestricted":["wood","solid","36","mango","collection","warm","living","bar","legs","deep","glass","tapered","wine","frame","silhouette","cabinet","month","white","fluted","shutters","open","built","thoughtful","airy","panels","handle","grain","timber","find","layout","keeping","gentle","stage","adapts","add","within","offering","crisp","detail","linger","evenings","counterpoint","center","circular","bottles","shelving","included","front","doors","adjustable","rack","pull","carved","lift"],"similarPrior":null,"retrySimilar":null,"originalDirection":"compact-clarity","retryDirection":"design-character"}
[2026-09-18T07:35:27.259Z] QUALITY_ISSUE_KEPT: ID=9420582 | Category=Storage | Name="Dante Solid Wood Bar Cabinet (Black Finish)" | Details={"wordCount":null,"retryWordCount":113,"restrictedUsed":["wood","solid","crafted","while","touch","design","mango","brings","bar","soft","modern","black","gathering","character","any","warmth","cabinet","brass","glassware","open","closed","pairs","feel","keeps","neatly","bottles","made","makes","build","details"],"retryRestricted":["wood","solid","while","touch","mango","bar","soft","quiet","sculptural","room","frame","black","over","cabinet","evening","brass","glassware","open","closed","adding","light","moment","pairs","daily","use","keeps","confidence","simple","place","bottles","made","turns","sections","details","catch"],"similarPrior":"A toast to good times, ready when you are.","retrySimilar":null,"originalDirection":"design-character","retryDirection":"form-function"}
[2026-09-18T07:35:45.945Z] QUALITY_ISSUE_KEPT: ID=8503657 | Category=Storage | Name="Riveria Solid Wood Bar Cabinet (Danish Walnut Finish)" | Details={"wordCount":null,"retryWordCount":93,"restrictedUsed":["dining","wood","sheesham","walnut","solid","crafted","while","design","danish","living","bar","glass","quiet","form","gathering","character","any","warmth","lasting","lively","adds","cabinet","evening","glassware","open","closed","organized","sturdy","meet","keeps","within","strength","reach","whether","corner","bottles","away","favorite","doors","turns","spot","off","build","function","behind","hosting","everything","good"],"retryRestricted":["wood","sheesham","walnut","solid","36","natural","danish","brings","rich","bar","clean","presence","silhouette","long","construction","cabinet","evening","month","glassware","open","built","through","settle","closed","grain","let","anchors","feel","yet","together","up","corner","place","understated","entertaining","bottles","work","shelving","compartments","makes","tidy","keep","hold","mix","hosting","accessible","everything"],"similarPrior":"A toast to good times, ready when you are.","retrySimilar":"Pour a round and let the conversation flow.","originalDirection":"form-function","retryDirection":"compact-clarity"}
[2026-09-18T07:36:41.225Z] QUALITY_ISSUE_KEPT: ID=9951342 | Category=Storage | Name="Klint Solid Wood Bar Cabinet (Danish Walnut Finish)" | Details={"wordCount":121,"retryWordCount":87,"restrictedUsed":["wood","walnut","solid","crafted","while","36","every","gatherings","danish","mango","warm","bar","clean","mid","century","legs","side","glass","tapered","quiet","room","frame","inviting","silhouette","gently","curved","over","construction","depth","cabinet","evening","brass","month","fluted","shutters","glassware","built","klint","texture","integrated","airy","guests","feel","keeping","add","glow","host","polished","lighting","neatly","casts","linger","center","bottles","soften","when","cut","give","hidden","linear","outs","caps","becomes","good"],"retryRestricted":["wood","walnut","solid","crafted","while","36","design","danish","mango","brings","sophistication","refined","bar","mid","century","legs","glass","tapered","offers","silhouette","lasting","construction","cabinet","brass","month","fluted","shutters","glassware","klint","integrated","airy","gentle","add","strength","glow","lighting","casts","bottles","softened","caps","good","toast"],"similarPrior":null,"retrySimilar":"A toast to good times, ready when you are.","originalDirection":"hosting-moment","retryDirection":"material-first"}
[2026-09-18T07:36:59.356Z] QUALITY_ISSUE_KEPT: ID=9951338 | Category=Storage | Name="Yura Solid Wood And Cane Bar Trolley (Danish Walnut Finish)" | Details={"wordCount":null,"retryWordCount":94,"restrictedUsed":["wood","walnut","solid","crafted","while","36","every","danish","mango","brings","living","bar","tapered","sculptural","top","room","frame","warmth","gently","curved","adds","month","glassware","open","trolley","texture","cane","making","woven","functional","handle","grain","moment","pairs","feel","easy","adapts","keeps","within","considered","accent","reach","handcrafted","bottles","shelving","shelves","panel","deepens","softened","little"],"retryRestricted":["wood","walnut","solid","set","crafted","while","touch","natural","danish","mango","brings","living","bar","sculptural","top","room","conversation","architectural","silhouette","any","warmth","curved","finished","adds","glassware","open","trolley","texture","cane","making","woven","handle","elegant","easy","detailing","keeps","within","together","reach","corner","next","hand","bottles","shelving","made"],"similarPrior":null,"retrySimilar":"Set the scene for your next get","originalDirection":"material-first","retryDirection":"room-anchor"}
[2026-09-18T07:37:18.227Z] QUALITY_ISSUE_KEPT: ID=9750452 | Category=Storage | Name="Tetra Ottoman In Olive Fabric" | Details={"wordCount":116,"retryWordCount":142,"restrictedUsed":["wood","solid","crafted","while","seating","mango","living","soft","invites","available","quiet","room","feels","base","seat","silhouette","upholstery","plush","long","olive","blue","adds","four","guests","edges","anchors","sturdy","easy","yet","welcoming","up","detail","cotton","whether","corner","place","day","compact","close","softened","feet","pull","extra"],"retryRestricted":["wood","solid","comfort","while","touch","design","mango","brings","side","available","offers","frame","form","upholstered","surface","seat","silhouette","any","upholstery","fabric","plush","gently","olive","lasting","timeless","lines","blue","adds","versatile","comfortable","hue","functional","four","ensures","feel","charm","stability","accent","up","crisp","rounded","neatly","cotton","ready","corner","place","understated","compact","spot","beside","corners","make","inside","feet","handy","bed"],"similarPrior":null,"retrySimilar":"A cube with a softer side, the Olen bedside table brings understated style to your nightstand.","originalDirection":"room-anchor","retryDirection":"design-character"}
[2026-09-18T07:38:02.557Z] QUALITY_ISSUE_KEPT: ID=8425906 | Category=Storage | Name="Toledo Upholstered Puffy in Beige Colour" | Details={"wordCount":null,"retryWordCount":104,"restrictedUsed":["seater","while","36","touch","soft","invites","quiet","frame","grounded","base","upholstered","effortless","elegance","seat","upholstery","plush","beige","construction","month","contemporary","cushioned","comfortable","ideal","designed","adding","sleek","look","pairs","mdf","backed","charm","sturdy","gentle","keeps","metal","gold","cotton","areas","mirror","bedroom","drawers","chest","beside","matte","sit","dressing","range","toledo"],"retryRestricted":["comfort","while","refined","soft","top","frame","base","seat","any","upholstery","plush","beige","construction","contemporary","blends","designed","pairs","mdf","feel","stability","contrast","keeps","cohesive","edge","everyday","polished","metal","gold","cotton","delivers","whether","corner","mirror","place","bedroom","spot","drawers","chest","matte","setup","sit","feet","dressing","range","toledo","quick","rest"],"similarPrior":null,"retrySimilar":"A graceful landing spot for your daily routine, the Haven Shoe Cabinet pairs a cushioned top with a smart mix of open and concealed storage.","originalDirection":"design-character","retryDirection":"compact-clarity"}
[2026-09-18T07:38:35.103Z] QUALITY_ISSUE_KEPT: ID=7519457 | Category=Storage | Name="Sinata Ottoman in Blue Colour" | Details={"wordCount":null,"retryWordCount":103,"restrictedUsed":["seater","comfort","crafted","while","seating","36","natural","design","brings","legs","offers","top","frame","character","inviting","inspired","silhouette","any","fabric","iron","finished","blue","adds","brass","month","settle","balance","let","moment","backed","charm","accent","antique","window","whether","eye","corner","subtle","catches","makes","beside"],"retryRestricted":["seater","comfort","while","seating","36","touch","brings","living","quiet","room","frame","surface","seat","any","upholstery","fabric","iron","lively","blue","brass","month","versatile","appeal","anchors","charm","use","add","offering","accent","antique","practical","playful","corner","lends","nook","display","bedroom","hallway","out","spot","small","vintage","handy","extra","perch"],"similarPrior":null,"retrySimilar":null,"originalDirection":"design-character","retryDirection":"room-anchor"}
